#options: 1520x2700 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=13700 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:110 out:110 type:B dur:2 cpbdur:2 q:23.74 aq:18.74 tex:171899 mv:52359 misc:15398 imb:427 pmb:9609 smb:6019 d:s ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:23.74 aq:19.69 tex:69559 mv:31378 misc:15639 imb:276 pmb:6220 smb:9559 d:s ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:23.75 aq:19.67 tex:60568 mv:28695 misc:15089 imb:262 pmb:5527 smb:10266 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:23.71 aq:15.95 tex:1113899 mv:72626 misc:4523 imb:1667 pmb:13262 smb:1126 d:s ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:23.73 aq:18.69 tex:165930 mv:48043 misc:15443 imb:369 pmb:9346 smb:6340 d:s ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:23.74 aq:19.63 tex:61110 mv:29401 misc:15217 imb:221 pmb:5758 smb:10076 d:s ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:23.72 aq:19.67 tex:67305 mv:29034 misc:15413 imb:218 pmb:6054 smb:9783 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:23.65 aq:15.80 tex:1508567 mv:81253 misc:2868 imb:2808 pmb:12821 smb:426 d:s ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:23.68 aq:18.47 tex:216768 mv:55589 misc:14499 imb:554 pmb:10471 smb:5030 d:s ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:23.69 aq:19.68 tex:71477 mv:30195 misc:15432 imb:260 pmb:6104 smb:9691 d:s ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:23.66 aq:19.64 tex:87841 mv:37308 misc:15787 imb:399 pmb:7248 smb:8408 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:23.63 aq:15.63 tex:1225641 mv:75526 misc:3793 imb:2005 pmb:13279 smb:771 d:s ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:23.64 aq:18.55 tex:185743 mv:50741 misc:15044 imb:508 pmb:9731 smb:5816 d:s ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:23.64 aq:19.57 tex:75993 mv:33268 misc:15707 imb:336 pmb:6557 smb:9162 d:s ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:23.63 aq:19.76 tex:70405 mv:31662 misc:15509 imb:239 pmb:6305 smb:9511 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:23.61 aq:15.65 tex:1245531 mv:74132 misc:4145 imb:1778 pmb:13294 smb:983 d:s ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:23.62 aq:18.60 tex:176613 mv:50643 misc:15192 imb:432 pmb:9548 smb:6075 d:s ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:23.63 aq:19.68 tex:73906 mv:31633 misc:15605 imb:262 pmb:6305 smb:9488 d:s ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:23.61 aq:19.63 tex:69113 mv:30602 misc:15437 imb:280 pmb:6186 smb:9589 d:- ref:0 ;
